	user	text	location	date
41	bch_price	"Price of 1 BCH to USD: $311.54 (Change: -0.81 %)
Price of 1 BCH to BTC: 0.02968621 Ƀ (Change: -0.35 %)
#bitcoincash #bch $bch"	Bulgaria	2019-07-19 07:01:59
42	haroldo44505601	Tom Lee Is Afraid Trump will Institute a Bitcoin Ban https://t.co/TT0gXNOZX6 #TRUMP thinks bitcoin is fake money… https://t.co/1k3uDyVjIz	Los Angeles, CA	2019-07-19 07:01:55
43	MexWatcher	"Future / Spot basis as of Fri Jul 19 16:01:26 JST 2019
#BCH : 0.27%
#XRP : 0.43%
#ETH : 0.14%
#EOS : 0.29%
#LTC : 0… https://t.co/zvtURtNcTR"		2019-07-19 07:01:26
44	ADRTrading	#Trade #cryptocurrency with the ADR Trading Group 👨🏻‍💻 https://t.co/9IMfaEglP4 👩🏼‍💻 Make an informed decision and p… https://t.co/cSc5073FhO	London, England	2019-07-19 07:01:12
45	coinstats	"BitcoinCash - BCH
Price: $311.73
Change in 1h: -0.62%
Market cap: $5,579,932,727.00
Ranking: 5
#BitcoinCash #BCH"	Blockchain	2019-07-19 07:00:22
46	Ethlium	Ethlium Blockchain On set above 20%completed already we will completely move out of Ethereum block-chain to Ethlium… https://t.co/8irkw6z14T		2019-07-19 07:00:17
47	Ethlium	"Have you checked we are moving to our own Blockchain Network 🙏
Each users  who have Ethum token will be able to swa… https://t.co/XWLBqwEGf6"		2019-07-19 06:49:57
48	CurrencyNews	It’s not that Dalio mentioned bitcoin or cryptocurrencies in the note. #QASH #XRP #BCH #BlockchainNews #Ethereum… https://t.co/qj5ccP7Es2	London, England	2019-07-19 06:48:11
49	BinancePrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10459.76 $ (+0.17 %)
$ETH - 220.61 $   (+0.37 %)
$XRP - 0.32 $     (-0.3… https://t.co/mmYrVxCluf"		2019-07-19 06:44:10
50	cryptosUSD	"🔄 Prices update in $USD (1 hour):

$BTC   - 10490.7 $   (-0.05 %)
$ETH   - 221.31 $    (+0.29 %)
$XRP   - 0.32 $… https://t.co/sBtsleApIa"		2019-07-19 06:44:00
51	BittrexPrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10452.74 $   (+0.42 %)
$ETH - 220.73 $     (+0.55 %)
$XRP - 0.32 $… https://t.co/UC1HpWGFNG"		2019-07-19 06:43:59
52	JohnSmi13108865	"Google celebrates 50th Anniversary of the Apollo 11 Moon Landing.
Let's hope XRP will moon as well.
#XRP… https://t.co/MA1BAVPtZB"		2019-07-19 06:43:31
